text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,tag
RT @mkverma_npc: Join @GuwahatiNpc in celebration of #National #ProductivityWeek 2021. Participant in host of #onlinelearning register at h…,FALSE,0,NA,2021-02-12T01:08:15Z,FALSE,NA,1360032937224249347,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Kritikanpc,33,TRUE,FALSE,NA,NA,onlinelearning
"RT @digitunity: Students Left Behind by #RemoteLearning #OnlineLearning via ⁦⁦@NewYorker⁩ Policy makers, Administrators, Teacher, we have t…",FALSE,0,NA,2021-02-12T01:02:42Z,FALSE,NA,1360031540898586624,NA,"<a href=""https://smarterqueue.com"" rel=""nofollow"">SmarterQueue</a>",digitunity,1,TRUE,FALSE,NA,NA,onlinelearning
Describing people in #Italian. È molto creativo / creativa. He’s/She’s very creative. #learnitalian #italiano… https://t.co/XlACo8dl4N,FALSE,1,NA,2021-02-12T01:01:05Z,TRUE,NA,1360031134860644353,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",GarageItalian,0,FALSE,FALSE,NA,NA,onlinelearning
A él/A ella le interesan los idiomas. He’s/She’s languages. #español #learnspanish #languages #onlinelearning Check… https://t.co/RCLNGbLR4D,FALSE,1,NA,2021-02-12T01:01:05Z,TRUE,NA,1360031134638346243,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",GarageSpanish,0,FALSE,FALSE,NA,NA,onlinelearning
Er/Sie hat Humor. He/She has a sense of humor. #Valentines #love #romance in #German #learngerman #deutsch… https://t.co/XdDXEHLKuY,FALSE,0,NA,2021-02-12T01:00:58Z,TRUE,NA,1360031105613783044,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Language_Garage,0,FALSE,FALSE,NA,NA,onlinelearning
Come learn how to use the free audio production software Audacity to mix and edit your audio show.… https://t.co/Ixh1BwXKgZ,FALSE,0,NA,2021-02-12T01:00:01Z,TRUE,NA,1360030866534146052,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NYPLTechConnect,0,FALSE,FALSE,NA,NA,onlinelearning
"Happy #NationalInventorsDay !!!  
Today we celebrate Dr. Shirley Jackson!
Dr. Jackson's experiments paved the way f… https://t.co/NaLaiDfM3r",FALSE,0,NA,2021-02-12T00:53:07Z,TRUE,NA,1360029130008403970,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",FosterCollege,0,FALSE,FALSE,NA,NA,onlinelearning
"RT @ernelsavabelgas: 𝗬𝗼𝘂 𝗔𝗿𝗲 𝗧𝗵𝗲 𝗪𝗿𝗶𝘁𝗲𝗿 𝗼𝗳 𝗬𝗼𝘂𝗿 𝗟𝗶𝗳𝗲 𝗦𝘁𝗼𝗿𝘆
FOMO... If you want to create a change in your life, do something that you haven…",FALSE,0,NA,2021-02-12T00:50:16Z,FALSE,NA,1360028412849475584,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",petuniaEVA,1,TRUE,FALSE,NA,NA,onlinelearning
"@DynamicWebPaige @Microsoft @code @github Congratulations! 🎉 🥂 

Hoping for continued #onlinelearning   🤘 🎸 https://t.co/8MHEa6E8Vr",FALSE,3,DynamicWebPaige,2021-02-12T00:47:28Z,FALSE,1360016007495094277,1360027707464056838,18104734,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cataluna84,0,FALSE,FALSE,NA,NA,onlinelearning
"Are you formatting your assignments using APA 7th Edition style? If not, the UAGC Writing Center has you covered! C… https://t.co/Mq8yK2jssa",FALSE,3,NA,2021-02-12T00:44:46Z,TRUE,NA,1360027027458383873,NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",UAZGlobalCampus,0,FALSE,FALSE,NA,NA,onlinelearning
